metric,dimension,value
rows,total,148
severity,critical,9
severity,high,41
severity,medium,65
severity,low,33
domain,api-design,28
domain,architecture,16
domain,code-quality,24
domain,database,9
domain,devops,20
domain,performance,19
domain,security,5
domain,testing,27
status,open,148
missing_issue,api-design,22
missing_issue,architecture,12
missing_issue,code-quality,21
missing_issue,database,6
missing_issue,devops,12
missing_issue,performance,10
missing_issue,security,3
missing_issue,testing,12
